"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Que el Preven IMSS sea universal y nutriólogos para toda la población desde niños hasta la vida me abrir la colin Vargas,Que se fomente y sea una materia de l....ento importante sobre la Constitución,Muchas mujeres se en las relaciones tóxicas muchas veces esto la conduce al feminicidio Que se elejen de estas relaciones así definen su vida,Que sean lo que quieran y más no ridículos y que también luchen por un mejor país ya está solo de quejarse,CDMX,3
Es muy costoso para el erario la falta de especialistas una referencia que podría ser una consulta dentro de las siguientes 72 horas se convierte en una urgencia y en hospitalización,Que la cultura La comunidad,Que tengan todos los derechos,Es necesario que los padres y familias eduquen a sus hijos que no esperen que los maestros eduquen a sus hijos y que los chamacos se respiten a los maestros,CDMX,3
Ver cursos a la población de cómo preparar alimentos nutritivos,Creación de un Museo de la historia del siglo XX y 21,Dar más ayuda a las madres solteras que sea económica para ella y sus hijos,Respeto para todos,CDMX,3
Nacionalización o en su defecto fuerte regulación de los hospitales y clínicas privados para su integración al sistema de salud esto en el marco Del Postulado de la salud como un derecho y no como un negocio,Hacer más inclusiva la educación educación con más civismo educación para la lectura maestros con mejor asesoría educativa,Impulsar en las escuelas la necesidad de colaborar en el engranaje y esclavizante trabajo doméstico con la pandemia del COVID las mujeres responsables en las familias que no enfermaron fueron las que enfermaron y sacaron a las familias adelante número dos educar a las mujeres para que for Men a sus hijos con visión más solidaria en el trabajo doméstico De las educadoras de la familia,Toda la propuesta es muy buena para un mejor crecimiento de los hijos y padres de familia por esos valores con mi presidente y morena viva México viva su pueblo vayamos por todo,CDMX,3
Nacionalización de la industria farmacéutica o en su defecto una empresa grande y competitiva propiedad del Estado mejoraría la atención del ISSSTE y un sistema único de salud,Continuar con el sistema de apoyo por becas vincular los planes de estudio con las necesidades de la población internados para estudiantes,Que se fortalezca el seguimiento y asesoramiento de la mujer victimizada,Respeto a la diversidad sexual,CDMX,3
Orientar la investigación y atención médica para la prevención de enfermedades y hacerlo hasta obtener una atención médica de Y paralela a la medicina tradicional,Seguimos con lo mismo respeto a los maestros,Que haya mas presupuesto para las personas ancianas enfermas,No estoy de acuerdo con la desviación sexual,CDMX,3
Integrar programas de alimentación sana en la familia más intensamente para prevenir enfermedades en campañas como las de vacunación,Yo veo muy importante enseñar valores desde la casa fomentar la buena lectura y enseñar a nuestros hijos a ser empáticos y así serán adultos educados porque la educación empieza en la casa, Centro de la política tiene que ser la mujer,No estoy de acuerdo,CDMX,3
Crear una industria farmacéutica nacional con precios regulados,Apoyar a los que no les alcanza con lugares das las escuelas a cualquier nivel haya apoyo a los que tienen ganas de superarse,Más apoyo a las mujeres maltratadas con ayuda profesional y asesoramiento gratuito tanto psicológico asistencial y jurídico,Que sean talleres para sensibilizar a toda la población empezando por la libertad de la sexualidad consensuada entre personas conscientes y libres no a la trata de personas no a la imposición de credos de Gabriela colín Vargas,CDMX,3
Que la industria farmacéutica no se quede en manos extranjeras,Incremento de plazas considerable a las instituciones de educación media superior y superior la UNAM IPN Uam eliminar los exámenes de admisión garantizar la educación pública desde primaria hasta universidad para todo el pueblo integracion de aquellas instituciones a las principios de la nueva escuela mexicana,Que los violadores tengan cana perpetua apoyo psicológico cuando haya una persona que viola no puede estar en nuestra sociedad daña a nuestra sociedad,Difundir general de forma más general o popular al respecto por las preferencias sexuales para que los niños crezcan con una condición sana y fortalecida en su autoestima reforzada en todo momento por el amor de su familia de manera respetuosa y abierta,CDMX,3
Mejorar Instalaciones y servicios médicos,El nivel deberá ser igual a las escuelas privadas,Que los ministerios públicos nos apoyen al primer grito de auxilio,Educando y empezando por la casa el primer apoyo hacia estas personas,CDMX,3
Crear una industria farmacéutica competitivo por parte del Estado,La educación es la base de la formación de seres libres y con ética de solidaridad amor humanismo la escuela pública es la base no sólo para quienes la puedan pagar conocimiento y orientación impulsar un estado de Bienestar Social,Aunque sea modesto en la ayuda tiene que tener el apoyo que es necesario,Mejorar la educación sexual en primarias y secundarias,CDMX,3
Orientar para prevenir enfermedades y una buena alimentación que podamos adquirir,Construir más universidades,Menos tiempo de trabajo de 8 a 6 horas para mujeres, El desarrollo integral del ser humano para tener mejores ciudadanos qué hacer para mejorar el desarrollo humano psicología,CDMX,3
Sobre todo evitar y vigilar que no ocurra el saqueo de Medicina del hospital publico,Rescatar las prevocacionales fomentar centros de investigación a diferentes niveles,Las mujeres que ganan menos que paguen menos impuestos y que se paguen sueldos más justos, Acceso a la salud psicoemocional liberar el deseo y reconocer a la humanidad como diversa a los demás como seres deseantes para no desear el fascismo y el odio,CDMX,3
Que haya desayunos en las escuelas y se les eduque a los padres como llevar una dieta de los hijos,Leer en libertad no es un programa de fomento a la lectura es para gente que le gusta leer debe haber acompañamiento para que las personas descubran la lectura y la dirijan hacia el humanismo,Que hayan más instituciones para apoyar a la familia cuando los hijos que tienen hijos se los dejen a los abuelos y no se hagan responsables,A tener con pláticas y planes activos programas enfocados a prevenir embarazos no deseados en adolescentes proporcionar un condon no es suficiente y la actividad de cuidar de un huevo tampoco se debe concretizar concientizar las niñas sobre todo lo que sucede en el embarazo o vacunas análisis etc y lo que implica ser madre a corta edad,CDMX,3
Por ejemplo salió un medicamento para el estómago parecido a la planta,Erradicar el analfabetismo fomentando la lectura,Se promueve el conocimiento de sus derechos,Mayor apoyo a las químicas del VIH as....os y atención a personas con VIH sida,CDMX,3
Campañas de salud integral campañas de vacunación universal atención psicologica a los jóvenes brigadas médicas itinerantes aumentos de presupuesto al IMSS bienestar,Eliminar los exámenes de la competenc....ación mexicana no sólo a nivel básico,Apoyo para las personas que no pueden salir a trabajar por tener a su cuidado a personas adultas mayores,Que nadie discrimine a ninguna persona y se respeten sus decisiones personales y que sigan gozando de sus derechos individuales,CDMX,3
Número 1 que exista una vigilancia estricta hacia los empleados del sector salud porque con el robo hormiga de las medicinas en las instituciones de salud impiden que el beneficio llegue a toda la población no a la corrupción de los empleados en el sector salud dos es prioritario impulsar difundir y promover la riquísima herencia de la herbolaria mexicana más naturaleza menos dependencia de las transnacionales de la salud sea nuestra soberanía y herencia de la herbolaria y conocimiento de la salud de la medicina tradicional 3 promover y educar en la alimentación sana que damos en nuestras en nuestros antepasados, Es tiempo de tomar conciencia la sociedad está muy discompuesta la educación debe empezar desde la casa mientras no cambie esto no habrá progreso nota esto se llevará décadas,Estaría genial poder crear aparte de una sociedad con respeto hacia la mujer aumentar desde casa la educación no machista,Más respeto,CDMX,3
No hay medicamento en el sector salud y un pueblo enfermo no sirve a nadie necesitamos salud para trabajar por El País,Apoyar la educación para adultos y proponer un apoyo adicional,Un inmujeres nacional,Solo enfatizar en la educación hacia la sociedad acerca de la diversidad en cómo se manifiesta la vida educar en la escuela en el lugar en el trabajo y profundizar en el resto en el respeto a la diferencia y en l....e nos ayudan a educarnos unos a otros,CDMX,3
Atender la corrupción en el centro y control de los medicamentos facilitar los trámites porque hay personas que no saben cómo hacer lo que se debe crear una empresa farmacéutica competitiva a nivel nacional,Buscar estrategias nuevas para el fomento a la lectura ya que no ha funcionado,Debería haber más apoyo a las madres solteras,Que desde pequeños enseñen a los niños y niñas el respeto hacia todos las personas que de diferente sexo o bien a la gente anciana,CDMX,3
Regulación en salarios del personal de salud así como distribución de insumos dentro de hospitales,Se requiere que haya más actividades en los pueblos de provincia música danza y programas culturales,Leer el libro de una mujer Sara Secobil se llama demasiado odio,,CDMX,3
Exigirle al personal de salud que se debe al pueblo y que están para servir no para humillar y ser prepotentes,Para que se cumpla ya que algunos no .... estando registrados en los programas,Y el género sea el punto de lanza par....onomía y el orden social con igualdad,,CDMX,3
Que exista compromiso de los médicos y ética profesional,Agregar a la educación superior y medio superior y reconocimiento de lo que es el emprendimiento y manejo de las documentaciones cuando 1 se convierte en adulto,Yo soy Joaquín sol Solare y propongo que todos los muchachos salidos de la Universidad con sus carreras titulados hasta con diploma tengan un trabajo seguro al terminar sus estudios ya que fue un sacrificio tremendo por terminar sus estudios esto es para las mujeres esto es justicia para ella,,CDMX,3
Hay mucho desperdicio de medicamento el desperdicio es monumental,Tengo entendido que las escuelas reciben un presupuesto para los gastos necesarios comentó que no escriben sino llevan el voucher de la cuota voluntaria condicionada a la inscripción la gente por miedo que no les den su lugar consiguen para hacerlo no me parece justo Porque son cuotas altas deberían checar las escuelas porque obligan a pagar Yo sé que está en el Estado de México pero igual es la Ciudad de México favor de verificar ya que no nos obligan para escribir,,,CDMX,3
