Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
Integrar programas de alimentación sana en la familia más intensamente para prevenir enfermedades en campañas como las de vacunación,Yo veo muy importante enseñar valores desde la casa fomentar la buena lectura y enseñar a nuestros hijos a ser empáticos y así serán adultos educados porque la educación empieza en la casa, Centro de la política tiene que ser la mujer,No estoy de acuerdo
Crear una industria farmacéutica nacional con precios regulados,Apoyar a los que no les alcanza con lugares das las escuelas a cualquier nivel haya apoyo a los que tienen ganas de superarse,Más apoyo a las mujeres maltratadas con ayuda profesional y asesoramiento gratuito tanto psicológico asistencial y jurídico,Que sean talleres para sensibilizar a toda la población empezando por la libertad de la sexualidad consensuada entre personas conscientes y libres no a la trata de personas no a la imposición de credos de Gabriela colín Vargas
Que la industria farmacéutica no se quede en manos extranjeras,Incremento de plazas considerable a las instituciones de educación media superior y superior la UNAM IPN Uam eliminar los exámenes de admisión garantizar la educación pública desde primaria hasta universidad para todo el pueblo integracion de aquellas instituciones a las principios de la nueva escuela mexicana,Que los violadores tengan cana perpetua apoyo psicológico cuando haya una persona que viola no puede estar en nuestra sociedad daña a nuestra sociedad,Difundir general de forma más general o popular al respecto por las preferencias sexuales para que los niños crezcan con una condición sana y fortalecida en su autoestima reforzada en todo momento por el amor de su familia de manera respetuosa y abierta
Mejorar Instalaciones y servicios médicos,El nivel deberá ser igual a las escuelas privadas,Que los ministerios públicos nos apoyen al primer grito de auxilio,Educando y empezando por la casa el primer apoyo hacia estas personas
Crear una industria farmacéutica competitivo por parte del Estado,La educación es la base de la formación de seres libres y con ética de solidaridad amor humanismo la escuela pública es la base no sólo para quienes la puedan pagar conocimiento y orientación impulsar un estado de Bienestar Social,Aunque sea modesto en la ayuda tiene que tener el apoyo que es necesario,Mejorar la educación sexual en primarias y secundarias
Orientar para prevenir enfermedades y una buena alimentación que podamos adquirir,Construir más universidades,Menos tiempo de trabajo de 8 a 6 horas para mujeres, El desarrollo integral del ser humano para tener mejores ciudadanos qué hacer para mejorar el desarrollo humano psicología
Sobre todo evitar y vigilar que no ocurra el saqueo de Medicina del hospital publico,Rescatar las prevocacionales fomentar centros de investigación a diferentes niveles,Las mujeres que ganan menos que paguen menos impuestos y que se paguen sueldos más justos, Acceso a la salud psicoemocional liberar el deseo y reconocer a la humanidad como diversa a los demás como seres deseantes para no desear el fascismo y el odio
Que haya desayunos en las escuelas y se les eduque a los padres como llevar una dieta de los hijos,Leer en libertad no es un programa de fomento a la lectura es para gente que le gusta leer debe haber acompañamiento para que las personas descubran la lectura y la dirijan hacia el humanismo,Que hayan más instituciones para apoyar a la familia cuando los hijos que tienen hijos se los dejen a los abuelos y no se hagan responsables,A tener con pláticas y planes activos programas enfocados a prevenir embarazos no deseados en adolescentes proporcionar un condon no es suficiente y la actividad de cuidar de un huevo tampoco se debe concretizar concientizar las niñas sobre todo lo que sucede en el embarazo o vacunas análisis etc y lo que implica ser madre a corta edad
Por ejemplo salió un medicamento para el estómago parecido a la planta,Erradicar el analfabetismo fomentando la lectura,Se promueve el conocimiento de sus derechos,Mayor apoyo a las químicas del VIH as....os y atención a personas con VIH sida
Campañas de salud integral campañas de vacunación universal atención psicologica a los jóvenes brigadas médicas itinerantes aumentos de presupuesto al IMSS bienestar,Eliminar los exámenes de la competenc....ación mexicana no sólo a nivel básico,Apoyo para las personas que no pueden salir a trabajar por tener a su cuidado a personas adultas mayores,Que nadie discrimine a ninguna persona y se respeten sus decisiones personales y que sigan gozando de sus derechos individuales
Número 1 que exista una vigilancia estricta hacia los empleados del sector salud porque con el robo hormiga de las medicinas en las instituciones de salud impiden que el beneficio llegue a toda la población no a la corrupción de los empleados en el sector salud dos es prioritario impulsar difundir y promover la riquísima herencia de la herbolaria mexicana más naturaleza menos dependencia de las transnacionales de la salud sea nuestra soberanía y herencia de la herbolaria y conocimiento de la salud de la medicina tradicional 3 promover y educar en la alimentación sana que damos en nuestras en nuestros antepasados, Es tiempo de tomar conciencia la sociedad está muy discompuesta la educación debe empezar desde la casa mientras no cambie esto no habrá progreso nota esto se llevará décadas,Estaría genial poder crear aparte de una sociedad con respeto hacia la mujer aumentar desde casa la educación no machista,Más respeto
No hay medicamento en el sector salud y un pueblo enfermo no sirve a nadie necesitamos salud para trabajar por El País,Apoyar la educación para adultos y proponer un apoyo adicional,Un inmujeres nacional,Solo enfatizar en la educación hacia la sociedad acerca de la diversidad en cómo se manifiesta la vida educar en la escuela en el lugar en el trabajo y profundizar en el resto en el respeto a la diferencia y en l....e nos ayudan a educarnos unos a otros
Atender la corrupción en el centro y control de los medicamentos facilitar los trámites porque hay personas que no saben cómo hacer lo que se debe crear una empresa farmacéutica competitiva a nivel nacional,Buscar estrategias nuevas para el fomento a la lectura ya que no ha funcionado,Debería haber más apoyo a las madres solteras,Que desde pequeños enseñen a los niños y niñas el respeto hacia todos las personas que de diferente sexo o bien a la gente anciana
Regulación en salarios del personal de salud así como distribución de insumos dentro de hospitales,Se requiere que haya más actividades en los pueblos de provincia música danza y programas culturales,Leer el libro de una mujer Sara Secobil se llama demasiado odio,
Exigirle al personal de salud que se debe al pueblo y que están para servir no para humillar y ser prepotentes,Para que se cumpla ya que algunos no .... estando registrados en los programas,Y el género sea el punto de lanza par....onomía y el orden social con igualdad,
Que exista compromiso de los médicos y ética profesional,Agregar a la educación superior y medio superior y reconocimiento de lo que es el emprendimiento y manejo de las documentaciones cuando 1 se convierte en adulto,Yo soy Joaquín sol Solare y propongo que todos los muchachos salidos de la Universidad con sus carreras titulados hasta con diploma tengan un trabajo seguro al terminar sus estudios ya que fue un sacrificio tremendo por terminar sus estudios esto es para las mujeres esto es justicia para ella,
Hay mucho desperdicio de medicamento el desperdicio es monumental,Tengo entendido que las escuelas reciben un presupuesto para los gastos necesarios comentó que no escriben sino llevan el voucher de la cuota voluntaria condicionada a la inscripción la gente por miedo que no les den su lugar consiguen para hacerlo no me parece justo Porque son cuotas altas deberían checar las escuelas porque obligan a pagar Yo sé que está en el Estado de México pero igual es la Ciudad de México favor de verificar ya que no nos obligan para escribir,,
Que Cualquier cosa que necesite el paciente sea gratuito por ejemplo intervenciones quirúrgicas,Es urgente garantizar a nuestros estudiantes que terminan una carrera trabajo en sus diferentes áreas de estudio,,
Que sean rápidos en las consultas,Aumentar el presupuesto para que haya más personas que terminen su período escolar tranquilos,,
Nacionalizar las instituciones de salud y formar una farmacéutica de bienestar como gas bienestar,Retener a los jóvenes que son cerebros y no los jalen otros países manteniendo sus capacidades,,
Que no falten medicamentos principalmente para los niños de cáncer y adultos,Cuando empieza un niño a estudiar en escuela pública se le da una beca cuando un alumno termina la licenciatura superior es no tener trabajo asegurado es utópico,,
Cuidar el medicamento de los mismos administradores y medicos ya que hay Robot hormiga,Utilizar la televisión pública canal 11 Canal 22 Canal 14 para promover la cultura y educar mediante programas con contenido educativo,,
